Country,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
Armenia,ARM,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.09589041,41.48226203,42.14963119,43.69511767,45.87284861,46.78609062,46.64559185,46.46996839,46.46996839,46.64559185,48.85844749,50.7200562,52.86266245,56.37513172,61.69301019,61.53494907,61.42606252,61.33825079,60.94134176,59.6452406,59.11485774,59.11485774,59.03407095,58.89357218,58.89708465,58.87249737,58.914647,58.90410959,59.43808314,59.3969094,58.61342094,58.59336214,
American Samoa,ASM,Agricultural land (% of land area),AG.LND.AGRI.ZS,,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.65,9.82,9.99,10.16,10.33,10.5,10.67,10.84,11.01,11.18,11.35,11.5,11.65,11.8,11.95,12.1,12.25,12.4,12.55,12.7,12.85,13,13.15,13.3,13.45,13.6,13.75,13.9,14.05,14.2,14.35,14.5,14.5,14.8,
Antigua and Barbuda,ATG,Agricultural land (% of land area),AG.LND.AGRI.ZS,,22.72727273,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,22.72727273,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,20.45454545,
Australia,AUS,Agricultural land (% of land area),AG.LND.AGRI.ZS,,61.76333188,62.03779226,62.39922656,62.72910581,63.29604298,63.39618678,63.72838393,66.85101611,66.50196151,64.22978776,65.02429828,65.06059383,64.81092902,65.13114562,65.02570845,65.18126082,63.97953738,64.5770147,64.20447002,64.51687646,64.50737409,63.8834724,62.97449982,63.33493876,63.36526821,60.98967757,61.31236739,61.44670216,60.80262421,60.45546256,60.24003228,60.65943793,59.89052758,61.06803952,60.31891491,60.55868685,60.16856931,60.3830884,59.05692306,59.28810382,59.31817294,58.1856996,57.20942947,51.40465746,53.39937258,53.27857543,51.85367663,50.67336605,50.01848405,48.99209872,51.56281322,50.38543145,48.39371022,48.73839866,45.31442407,44.53992579,48.34061794,46.65809501,47.12377243,46.25247984,47.2592375,47.2592375,47.22344432,
Austria,AUT,Agricultural land (% of land area),AG.LND.AGRI.ZS,,43.08531265,42.78962676,42.29035385,42.1291808,41.98012603,41.27484246,40.8834222,40.70891905,40.6095492,40.4241396,40.24357731,40.07634513,39.04750364,38.86694135,38.65123606,38.57852642,38.5070286,38.54580708,38.08652448,38.06349976,38.23800291,38.08410082,36.66868638,36.75714978,36.80925836,36.67959283,36.69413476,36.94013572,36.96800776,36.64444983,36.8019874,36.51236064,36.3427048,36.28332525,36.12578769,36.03126515,35.92583616,35.86888027,35.81192438,35.63015027,35.33809985,35.16965584,34.96400873,34.74793989,34.61948619,34.45588948,34.29592826,34.04507998,33.87057683,33.6791081,33.41371789,33.14590402,32.91808047,32.89142026,32.94292293,32.35785264,32.16941348,32.14772176,32.12809016,31.53981217,31.53766844,31.47658386,31.47434561,
Azerbaijan,AZE,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.42898687,53.55396133,53.90725453,53.94450653,54.3903289,55.14137736,56.34838492,56.73659392,57.38635676,57.45000242,57.43179452,57.52552872,57.51524095,57.56835229,57.55291213,57.56453545,57.56834933,57.57909516,57.67034456,57.69193544,57.68709623,57.70454518,57.70054317,57.7017529,57.73557518,57.79560136,57.8253926,57.82781233,57.83824989,57.8415003,57.84029038,57.82940109,
Burundi,BDI,Agricultural land (% of land area),AG.LND.AGRI.ZS,,61.3317757,61.91588785,62.46105919,62.5,63.23987539,63.12305296,64.87538941,65.26479751,73.87071651,73.20872274,73.94859813,74.2211838,77.88161994,79.04984424,80.21806854,81.58099688,83.45015576,82.55451713,81.77570093,81.30841121,80.80218069,80.21806854,80.21806854,80.21806854,80.21806854,81.07476636,81.2694704,81.46417445,81.2694704,81.07476636,80.88006231,81.07476636,80.88006231,80.72429907,79.32242991,77.60903427,76.01246106,74.49376947,73.48130841,72.70249221,72.07943925,71.41744548,71.37850467,71.96261682,70.83333333,70.95015576,71.06697819,71.18380062,71.30062305,71.37850467,71.69003115,72.42990654,73.48130841,74.53271028,75.58411215,76.63551402,77.68691589,78.73831776,79.78971963,80.8411215,81.89252336,82.8079634,83.88655763,
Belgium,BEL,Agricultural land (% of land area),AG.LND.AGRI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.81149243,45.71918373,45.79500874,45.89720766,45.86753701,45.59390763,45.49500544,45.06313256,45.01038473,44.95434016,44.69389774,44.03454983,43.91257047,44.06092375,43.88949329,43.78070089,44.5323575,43.74773349,44.40363362,44.46776415,44.75009182,44.78487571,44.56614416,44.37922214,
Benin,BEN,Agricultural land (% of land area),AG.LND.AGRI.ZS,,12.54487407,12.72747428,12.9097641,13.06992728,13.26503193,13.53103938,13.91947499,14.1926215,14.94346399,15.13544697,15.56957254,15.84529088,16.01379035,16.25323696,16.60881518,16.8438276,17.13866619,17.32626818,17.5,17.77492018,18.04540617,18.40457609,18.39122916,18.55972863,18.8529177,19.38612983,19.47481376,19.565094,19.55977297,20.05406172,20.1162735,20.31009223,20.62644555,21.1693597,22.30057645,23.98753991,25.62849415,26.96718695,27.54519333,28.30681093,28.90678432,29.86288578,30.78216566,30.67794431,30.80482441,29.61445548,29.96722242,31.78336289,33.17067222,30.9253636,32.0979514,33.39123803,35.30102873,35.4549663,36.12294253,34.3804984,36.30170184,39.56020397,41.07138524,39.31401738,41.00234569,43.0623652,41.8300133,
Burkina Faso,BFA,Agricultural land (% of land area),AG.LND.AGRI.ZS,,32.9495614,32.9495614,32.9495614,32.96783626,32.96783626,32.96783626,32.96783626,32.96783626,32.96783626,32.96783626,32.96783626,32.96783626,32.96783626,32.96783626,33.00438596,33.02266082,33.02266082,33.02266082,33.02266082,33.04093567,33.05921053,33.05921053,33.07748538,33.55566703,34.01557383,34.49375512,34.97193677,35.45011842,35.91002522,36.36993165,36.82983845,37.28974525,37.74965205,38.20955885,38.66946528,39.12937208,39.58927887,40.04918567,40.50909247,40.97630885,41.45083553,41.91805227,42.38526901,42.90730994,43.42569627,43.92946272,44.40764437,44.9132383,45.43710673,46.02128253,46.75896711,47.32852303,48.11737683,48.68693275,49.29303838,49.82604459,50.3590508,51.19615058,51.67689035,52.15945797,52.67089985,53.3497394,53.40200548,
